Updated PetFood with ID: PF004,2024-06-05 10:40:22.875
Created Fish: Goldfish,2024-06-05 10:40:22.881
Updated Fish with ID: 1,2024-06-05 10:40:22.884
Updated ShoppingCart with Code: 3,2024-06-05 10:40:22.907
Inserted client: John Doe,2024-06-05 10:40:22.913
Retrieved brand: BrandA,2024-06-05 10:58:33.123
Retrieved brand: BrandA,2024-06-05 10:58:33.135
Retrieved brand: BrandA,2024-06-05 10:58:33.141
Updated PetFood with ID: PF001,2024-06-05 10:58:33.143
Updated PetFood with ID: PF002,2024-06-05 10:58:33.144
Updated PetFood with ID: PF003,2024-06-05 10:58:33.145
Updated PetFood with ID: PF004,2024-06-05 10:58:33.145
Created Fish: Goldfish,2024-06-05 10:58:33.15
Updated Fish with ID: 1,2024-06-05 10:58:33.152
Updated ShoppingCart with Code: 3,2024-06-05 10:58:33.173
Inserted client: John Doe,2024-06-05 10:58:33.178
Retrieved brand: BrandA,2024-06-05 11:04:08.462
Retrieved brand: BrandA,2024-06-05 11:04:08.471
Retrieved brand: BrandA,2024-06-05 11:04:08.475
Updated PetFood with ID: PF001,2024-06-05 11:04:08.477
Updated PetFood with ID: PF002,2024-06-05 11:04:08.478
Updated PetFood with ID: PF003,2024-06-05 11:04:08.479
Updated PetFood with ID: PF004,2024-06-05 11:04:08.479
Created Fish: Goldfish,2024-06-05 11:04:08.483
Updated Fish with ID: 1,2024-06-05 11:04:08.486
Retrieved brand: BrandA,2024-06-05 11:04:08.499
Retrieved brand: BrandA,2024-06-05 11:04:08.506
Retrieved brand: BrandA,2024-06-05 11:04:08.511
Retrieved brand: BrandA,2024-06-05 11:04:08.513
Updated ShoppingCart with Code: 3,2024-06-05 11:04:08.524
Inserted client: John Doe,2024-06-05 11:04:08.528
Retrieved brand: BrandA,2024-06-05 11:05:03.588
Retrieved brand: BrandA,2024-06-05 11:05:03.597
Retrieved brand: BrandA,2024-06-05 11:05:03.6
Updated PetFood with ID: PF001,2024-06-05 11:05:03.603
Updated PetFood with ID: PF002,2024-06-05 11:05:03.604
Updated PetFood with ID: PF003,2024-06-05 11:05:03.605
Updated PetFood with ID: PF004,2024-06-05 11:05:03.605
Created Fish: Goldfish,2024-06-05 11:05:03.61
Updated Fish with ID: 1,2024-06-05 11:05:03.613
Retrieved brand: BrandA,2024-06-05 11:05:03.617
Retrieved brand: BrandA,2024-06-05 11:05:03.618
Retrieved brand: BrandA,2024-06-05 11:05:03.623
Retrieved brand: BrandA,2024-06-05 11:05:03.624
Updated ShoppingCart with Code: 3,2024-06-05 11:05:03.637
Retrieved brand: BrandA,2024-06-05 11:05:03.639
Retrieved brand: BrandA,2024-06-05 11:05:03.64
Inserted client: John Doe,2024-06-05 11:05:03.645
Retrieved brand: BrandA,2024-06-05 11:08:10.339
Retrieved brand: BrandA,2024-06-05 11:08:10.348
Retrieved brand: BrandA,2024-06-05 11:08:10.352
Updated PetFood with ID: PF001,2024-06-05 11:08:10.355
Updated PetFood with ID: PF002,2024-06-05 11:08:10.355
Updated PetFood with ID: PF003,2024-06-05 11:08:10.356
Updated PetFood with ID: PF004,2024-06-05 11:08:10.357
Created Fish: Goldfish,2024-06-05 11:08:10.361
Updated Fish with ID: 1,2024-06-05 11:08:10.364
Retrieved brand: BrandA,2024-06-05 11:08:10.369
Retrieved brand: BrandA,2024-06-05 11:08:10.371
Retrieved brand: BrandA,2024-06-05 11:08:10.377
Retrieved brand: BrandA,2024-06-05 11:08:10.379
Updated ShoppingCart with Code: 3,2024-06-05 11:08:10.394
Retrieved brand: BrandA,2024-06-05 11:08:10.396
Retrieved brand: BrandA,2024-06-05 11:08:10.397
Inserted client: John Doe,2024-06-05 11:08:10.401
Retrieved brand: BrandA,2024-06-05 11:09:06.621
Retrieved brand: BrandA,2024-06-05 11:09:06.632
Retrieved brand: BrandA,2024-06-05 11:09:06.636
Updated PetFood with ID: PF001,2024-06-05 11:09:06.639
Updated PetFood with ID: PF002,2024-06-05 11:09:06.64
Updated PetFood with ID: PF003,2024-06-05 11:09:06.641
Updated PetFood with ID: PF004,2024-06-05 11:09:06.642
Created Fish: Goldfish,2024-06-05 11:09:06.658
Updated Fish with ID: 1,2024-06-05 11:09:06.662
Retrieved brand: BrandA,2024-06-05 11:09:06.667
Retrieved brand: BrandA,2024-06-05 11:09:06.669
Retrieved brand: BrandA,2024-06-05 11:09:06.673
Retrieved brand: BrandA,2024-06-05 11:09:06.674
Updated ShoppingCart with Code: 3,2024-06-05 11:09:06.687
Retrieved brand: BrandA,2024-06-05 11:09:06.689
Retrieved brand: BrandA,2024-06-05 11:09:06.691
Retrieved client: John Doe,2024-06-05 11:09:06.694
Retrieved client: John Doe,2024-06-05 11:09:06.702
Updated client address: John Doe,2024-06-05 11:09:06.703
Retrieved client: John Doe,2024-06-05 11:09:06.703
Retrieved brand: BrandA,2024-06-05 11:10:02.216
Retrieved brand: BrandA,2024-06-05 11:10:02.226
Retrieved brand: BrandA,2024-06-05 11:10:02.23
Updated PetFood with ID: PF001,2024-06-05 11:10:02.233
Updated PetFood with ID: PF002,2024-06-05 11:10:02.234
Updated PetFood with ID: PF003,2024-06-05 11:10:02.235
Updated PetFood with ID: PF004,2024-06-05 11:10:02.236
Created Fish: Goldfish,2024-06-05 11:10:02.253
Updated Fish with ID: 1,2024-06-05 11:10:02.255
Retrieved brand: BrandA,2024-06-05 11:10:02.26
Retrieved brand: BrandA,2024-06-05 11:10:02.262
Retrieved brand: BrandA,2024-06-05 11:10:02.268
Retrieved brand: BrandA,2024-06-05 11:10:02.269
Updated ShoppingCart with Code: 3,2024-06-05 11:10:02.284
Retrieved brand: BrandA,2024-06-05 11:10:02.286
Retrieved brand: BrandA,2024-06-05 11:10:02.287
Inserted brand: xyz,2024-06-05 13:06:32.512
Retrieved brand: xyz,2024-06-05 13:06:44.341
Updated brand factory address: xyz,2024-06-05 13:06:58.479
